,Año,Semana,Finca,Cajas,Bolsas,Cajas por Hectarea
337,2023,40,Pedrito,153,88.24,3.6637931034482762
338,2023,40,San Pedro,587,90.28,14.486673247778874
339,2023,40,Uveros,60,56.12,7.5
340,2023,41,Damaquiel,16,34,1.188707280832095
341,2023,41,Pedrito,127,126.72,3.0411877394636018
342,2023,41,San Pedro,752,124.84960000000001,18.558736426456072
343,2023,41,Uveros,44,17.76,5.5
344,2023,42,Damaquiel,27,47.52,2.0059435364041605
345,2023,42,Pedrito,46,102.24,1.1015325670498084
346,2023,42,San Pedro,481,92.10239999999999,11.870681145113522
347,2023,42,Uveros,40,0,5.0
348,2023,43,Damaquiel,5,25.32,0.3714710252600297
349,2023,43,Pedrito,75,97.92,1.795977011494253
350,2023,43,San Pedro,644,99.412,15.893385982230996
351,2023,43,Uveros,50,44.08,6.25
352,2023,44,Pedrito,54,90.84,1.293103448275862
353,2023,44,San Pedro,508,91.8,12.537018756169791
354,2023,44,Uveros,12,53.68,1.5
355,2023,45,Damaquiel,6,33.36,0.44576523031203563
356,2023,45,Pedrito,36,80.4,0.8620689655172414
357,2023,45,San Pedro,493,87.16,12.166831194471865
358,2023,45,Uveros,30,36.24,3.75
359,2023,46,Damaquiel,26,0,1.9316493313521543
360,2023,46,San Pedro,659,267.03999999999996,16.263573543928924
361,2023,47,Damaquiel,17,38.12,1.263001485884101
362,2023,47,Pedrito,46,310.76,1.1015325670498084
363,2023,47,San Pedro,438,63.67999999999999,10.809476801579466
364,2023,47,Uveros,24,43.36,3.0
365,2023,48,Pedrito,57,103.4,1.3649425287356323
366,2023,48,San Pedro,724,237.66919999999996,17.86771964461994
367,2023,48,Uveros,86,103.6,10.75
368,2023,49,Pedrito,48,132.56,1.149425287356322
369,2023,49,San Pedro,444,39.4728,10.957551826258637
370,2023,49,Uveros,20,34.84,2.5
371,2023,50,Pedrito,40,125,0.9578544061302683
372,2023,50,San Pedro,307,161.6,7.576505429417571
373,2023,50,Uveros,18,43.68,2.25
374,2023,51,Pedrito,20,193.64,0.47892720306513414
375,2023,51,San Pedro,532,227.1496,13.129318854886476
376,2023,51,Uveros,20,42.16,2.5
377,2023,52,Pedrito,26,186.8,0.6226053639846744
378,2023,52,San Pedro,447,87,11.031589338598222
379,2023,52,Uveros,22,46.84,2.75
380,2024,1,Damaquiel,0,7,0.0
381,2024,1,Pedrito,52,14,1.2452107279693487
382,2024,1,San Pedro,375,145.14,9.254689042448174
383,2024,1,Uveros,0,5,0.0
384,2024,2,San Pedro,433,212.176,10.686080947680157
385,2024,3,San Pedro,303,360,7.477788746298123
386,2024,3,Uveros,21,0,2.625
387,2024,4,Pedrito,76,0,1.8199233716475096
388,2024,4,San Pedro,356,184.4,8.785784797630798
389,2024,4,Uveros,13,0,1.625
390,2024,5,Pedrito,60,297.32,1.4367816091954024
391,2024,5,San Pedro,337,296,8.316880552813425
392,2024,6,Damaquiel,3,0,0.22288261515601782
393,2024,6,Pedrito,76,108.4,1.8199233716475096
394,2024,6,San Pedro,218,226.44,5.380059230009872
395,2024,6,Uveros,20,12.8,2.5
396,2024,7,Damaquiel,6,0,0.44576523031203563
397,2024,7,Pedrito,44,0,1.053639846743295
398,2024,7,San Pedro,184,43,4.54096742349457
399,2024,7,Uveros,11,0,1.375
400,2024,8,Pedrito,88,51,2.10727969348659
401,2024,8,San Pedro,251,221,6.19447186574531
402,2024,8,Uveros,2,7,0.25
403,2024,9,Pedrito,88,0,2.10727969348659
404,2024,9,San Pedro,80,0,1.9743336623889436
